difficulty,strategy,mean_combined_risk,peak_combined_risk,mean_resistance,peak_resistance,mean_push_force,peak_push_force,minimum_velocity,mean_velocity,mean_buckling_risk,peak_buckling_risk,mean_kickback,peak_kickback
easy,Balanced V2,0.3193337790668511,0.3957397921489397,0.3117828282176259,0.3769991148024706,0.13724447594309616,0.14411606456680276,2.86929463233539,3.0081443186014054,0.3177393817131719,0.3957397921489397,0.29954560961629156,0.32879868332520756
easy,Fixed Flexible,0.4818286424014593,0.49311008088463587,0.38507987712103897,0.421458402512208,0.14493978760404283,0.14876313022414733,2.7741801075911696,2.844850374140166,0.4818286424014593,0.49311008088463587,0.3328388802511452,0.34871980401405145
easy,Rate-Limited AI,0.3039846592365008,0.3663171866313804,0.31023548428578307,0.376171329137554,0.1370733481448755,0.14399276878168535,2.871662777799178,3.01251334886638,0.29711329616735904,0.3663171866313804,0.29877358963903067,0.3283414173622038
moderate,Balanced V2,0.42224395556829963,0.5950832213356352,0.5455782789534639,0.9979979536684699,0.16074276093618597,0.2072610409428413,2.0872903210905727,2.7093355451125647,0.41821307105089867,0.5877189090015262,0.3904664084955689,0.5705420514142765
moderate,Fixed Flexible,0.5171045032575388,0.6159840263422562,0.5462992734257683,0.9306400307667619,0.16073974906283822,0.20031730923160582,2.1623844985218392,2.6825435710842296,0.5170971029472475,0.6153811020214802,0.39226306507386277,0.5448027198687095
moderate,Rate-Limited AI,0.40651672511416165,0.5933740630900057,0.5459412846745704,0.9468232897764779,0.16075806596060266,0.2017402302261618,2.1190861451413667,2.7056564075618708,0.3989679022858065,0.5894349255884404,0.3907802872929031,0.5522381652744307
severe,Balanced V2,0.5540124121664924,0.9859583028234077,0.8766602873342512,2.7346474564566896,0.19380237856916105,0.3817349210117913,1.0260448665080963,2.169383604707902,0.5350553699584472,0.9099571588069073,0.5213136258176114,0.9859583028234077
severe,Fixed Flexible,0.6042408723237777,0.9734152896708756,0.8298688817391653,2.4171530722630843,0.1889823853385883,0.34975650623784016,1.1152881089248248,2.183788968079557,0.5983483515166854,0.900820239737364,0.5083692855546407,0.9729477661270067
severe,Rate-Limited AI,0.5234088321650512,0.9206937481658513,0.7913636711954023,2.058098762107467,0.18493239838680536,0.3133515480593654,1.2405134499078354,2.2202555231799,0.518691672904166,0.8837173826999611,0.495681100551136,0.9152120041240199
