configuration,stiffness,peak_resistance,mean_resistance,peak_push_force,mean_push_force,minimum_velocity,mean_velocity
Flexible,0.25,1.325737788999914,0.6678185325028522,0.23257377889999142,0.16678185325028522,1.7198843390337792,2.450561681920566
Medium,0.5,1.6009837186665519,0.7237580433371361,0.2600983718666552,0.1723758043337136,1.5378796765597145,2.4048122169904387
Stiff,0.75,1.9012296483331896,0.8046975541714201,0.29012296483331895,0.180469755417142,1.3787257421342272,2.3321837404348824
