position,x,y,curvature,stiffness,friction,resistance,velocity,push_force
0.0,0.0,0.0,0.0004350276026843783,0.25,0.2,0.31576270702013287,3.0400618429587354,0.1315762707020133
0.32181861784442767,0.20040080160320642,0.2518069528589115,0.0008703238548921287,0.25,0.2,0.319027428911691,3.032537392569871,0.1319027428911691
0.6435240245928022,0.40080160320641284,0.5034692016129299,0.0017426417331909176,0.25,0.2,0.3255698129989319,3.017570225856692,0.1325569812998932
0.9650031840671001,0.6012024048096193,0.7548421689206603,0.0026189526369758483,0.25,0.2,0.33214214477731885,3.002682570836794,0.13321421447773188
1.2861434098969853,0.8016032064128257,1.0057815308447355,0.0035012654961931442,0.25,0.2,0.3387594912214486,2.987840628752896,0.13387594912214487
1.6068325403525103,1.0020040080160322,1.2561433432465334,0.004391604057782346,0.25,0.2,0.3454370304333676,2.973011675404529,0.13454370304333677
1.9269591130908106,1.2024048096192386,1.5057841678124735,0.005292011681839675,0.25,0.2,0.35219008761379755,2.95816397164897,0.13521900876137977
2.246412539787042,1.402805611222445,1.7545611975896553,0.006204556008494831,0.25,0.2,0.35903417006371124,2.943266687556856,0.13590341700637112
2.5650832806188,1.6032064128256514,2.0023323819090875,0.007131333454495899,0.25,0.2,0.36598500090871927,2.928289840180534,0.13659850009087193
2.8828630185718835,1.8036072144288577,2.248956550575345,0.008074473492479438,0.25,0.2,0.37305855119359577,2.913204245021315,0.13730585511935958
3.1996448335334975,2.0040080160320644,2.4942935372022426,0.00903614265859274,0.25,0.2,0.38027106993944554,2.897981481402407,0.13802710699394458
3.5153233761366898,2.2044088176352705,2.7382043015749282,0.010018548225286411,0.25,0.2,0.3876391116896481,2.882593872069108,0.1387639111689648
3.8297950413169217,2.404809619238477,2.9805510509197877,0.011023941465677508,0.25,0.2,0.3951795609925813,2.867014477444219,0.13951795609925813
4.142958141538035,2.6052104208416833,3.2211973599645995,0.012054620423837906,0.25,0.2,0.4029096531787843,2.851217105062037,0.14029096531787844
