configuration,peak_resistance,mean_resistance,peak_push_force,mean_push_force,minimum_velocity,mean_velocity,peak_buckling_risk,mean_buckling_risk,peak_kickback,mean_kickback
Fixed Flexible,1.325737788999914,0.6678185325028522,0.23257377889999142,0.16678185325028522,1.7198843390337792,2.450561681920566,0.6971084922011995,0.5454516571656642,0.684609713752029,0.4360839424016774
Fixed Medium,1.6009837186665519,0.7237580433371361,0.2600983718666552,0.1723758043337136,1.5378796765597145,2.4048122169904387,0.6872333574565652,0.49441333679162147,0.7808525001372046,0.4561912998003812
Fixed Stiff,1.9012296483331896,0.8046975541714201,0.29012296483331895,0.180469755417142,1.3787257421342272,2.3321837404348824,0.6786921173410138,0.4490602632681372,0.8833754493526776,0.48568692875900776
Adaptive V1,1.1725902311999312,0.7014478215641131,0.21725902311999312,0.17014478215641135,1.8411203100139055,2.4156224033173674,0.7035806703671075,0.48121774925161215,0.629811968577443,0.4486366781082661
Balanced V2,1.4328361608665687,0.6922688936872197,0.2432836160866569,0.16922688936872196,1.6441715493801325,2.4363463062659325,0.6930131442114478,0.47890555069336027,0.7223637610976005,0.44451126474527203
