position,x,y,curvature,stiffness,resistance,push_force,velocity,buckling_risk,kickback_score,predicted_risk,simulated_combined_risk,prediction_error
0.0,0.0,0.0,0.0004350276026843783,0.9000000000000002,0.20809038643758132,0.12080903864375814,3.3110105377091905,0.2463652961421233,0.24055637721142983,0.27535574350139974,0.2463652961421233,-0.028990447359276444
0.32181861784442767,0.20040080160320642,0.2518069528589115,0.0008703238548921287,0.9000000000000002,0.21418453396848983,0.12141845339684898,3.294392152176604,0.24863195788034576,0.24347405512924664,0.2761104564982434,0.24863195788034576,-0.02747849861789764
0.6435240245928022,0.40080160320641284,0.5034692016129299,0.0017426417331909176,0.9000000000000002,0.22639698426467286,0.1226396984264673,3.2615866243330114,0.2531307682728179,0.24928990612746094,0.27767379883194776,0.2531307682728179,-0.024543030559129875
0.9650031840671001,0.6012024048096193,0.7548421689206603,0.0026189526369758483,0.9000000000000002,0.2386653369176619,0.1238665336917662,3.229282261142255,0.25759318040574086,0.25509167089488816,0.278857458259044,0.25759318040574086,-0.02126427785330315
1.2861434098969853,0.8016032064128257,1.0057815308447355,0.0035012654961931442,0.9000000000000002,0.25101771694670405,0.1251017716946704,3.1973967641022694,0.262030145400612,0.26089316496884196,0.27974604318945856,0.262030145400612,-0.01771589778884658
1.6068325403525103,1.0020040080160322,1.2561433432465334,0.004391604057782346,0.9000000000000002,0.2634824568089529,0.12634824568089528,3.1658532165950186,0.2664521711224629,0.26670793147890515,0.28194976745778183,0.26670793147890515,-0.015241835978876683
1.9269591130908106,1.2024048096192386,1.5057841678124735,0.005292011681839675,0.9000000000000002,0.2760881635457555,0.12760881635457555,3.1345796585758987,0.27086936834737624,0.272549288432281,0.28638117018904113,0.272549288432281,-0.013831881756760145
2.246412539787042,1.402805611222445,1.7545611975896553,0.006204556008494831,0.9000000000000002,0.28886378411892766,0.12888637841189277,3.103508725504624,0.2752914910675357,0.2784303714259637,0.2918323064665324,0.2784303714259637,-0.013401935040568691
2.5650832806188,1.6032064128256514,2.0023323819090875,0.007131333454495899,0.9000000000000002,0.30183866836294265,0.13018386683629427,3.0725773455707728,0.2797279713776163,0.28436417198040065,0.29310827314624033,0.28436417198040065,-0.00874410116583968
2.8828630185718835,1.8036072144288577,2.248956550575345,0.008074473492479438,0.9000000000000002,0.3150426288947122,0.13150426288947123,3.0417264901609946,0.2841879492968745,0.29036357160747417,0.30218128358187796,0.29036357160747417,-0.011817711974403788
3.1996448335334975,2.0040080160320644,2.4942935372022426,0.00903614265859274,0.9000000000000002,0.3285059972202984,0.13285059972202984,3.010900973250709,0.2886802978032694,0.29644137164808937,0.3064251904418408,0.29644137164808937,-0.009983818793751431
3.5153233761366898,2.2044088176352705,2.7382043015749282,0.010018548225286411,0.9000000000000002,0.3422596751540098,0.134225967515401,2.9800492960060376,0.293213643286673,0.3026103188387757,0.3092901532378468,0.3026103188387757,-0.006679834399071105
