position,x,y,curvature,stiffness,friction,resistance,velocity,push_force
0.0,0.0,0.0,0.0004350276026843783,0.75,0.2,0.21793784503355476,3.2842398454986825,0.12179378450335548
0.32181861784442767,0.20040080160320642,0.2518069528589115,0.0008703238548921287,0.75,0.2,0.22337904818615162,3.2696325851996715,0.12233790481861516
0.6435240245928022,0.40080160320641284,0.5034692016129299,0.0017426417331909176,0.75,0.2,0.2342830216648865,3.2407478105017784,0.12342830216648866
0.9650031840671001,0.6012024048096193,0.7548421689206603,0.0026189526369758483,0.75,0.2,0.24523690796219813,3.212240156410003,0.12452369079621982
1.2861434098969853,0.8016032064128257,1.0057815308447355,0.0035012654961931442,0.75,0.2,0.2562658187024143,3.1840395085584388,0.12562658187024142
1.6068325403525103,1.0020040080160322,1.2561433432465334,0.004391604057782346,0.75,0.2,0.26739505072227937,3.1560798645382344,0.12673950507222795
1.9269591130908106,1.2024048096192386,1.5057841678124735,0.005292011681839675,0.75,0.2,0.2786501460229959,3.1282990209958976,0.1278650146022996
2.246412539787042,1.402805611222445,1.7545611975896553,0.006204556008494831,0.75,0.2,0.29005695010618543,3.100638308774475,0.12900569501061854
2.5650832806188,1.6032064128256514,2.0023323819090875,0.007131333454495899,0.75,0.2,0.3016416681811988,3.0730423723982754,0.1301641668181199
2.8828630185718835,1.8036072144288577,2.248956550575345,0.008074473492479438,0.75,0.2,0.313430918655993,3.045458990788125,0.1313430918655993
3.1996448335334975,2.0040080160320644,2.4942935372022426,0.00903614265859274,0.75,0.2,0.32545178323240925,3.017838936581389,0.13254517832324095
3.5153233761366898,2.2044088176352705,2.7382043015749282,0.010018548225286411,0.75,0.2,0.33773185281608015,2.9901358718337594,0.13377318528160803
3.8297950413169217,2.404809619238477,2.9805510509197877,0.011023941465677508,0.75,0.2,0.35029926832096886,2.9623062782029086,0.13502992683209689
4.142958141538035,2.6052104208416833,3.2211973599645995,0.012054620423837906,0.75,0.2,0.36318275529797384,2.934309419961561,0.1363182755297974
4.454713079640408,2.80561122244489,3.4600082896726154,0.013112932091463147,0.75,0.2,0.3764116511432894,2.9061073383660174,0.13764116511432894
