difficulty,seed,max_curvature,mean_curvature,median_curvature,p95_curvature
easy,0,0.03152792925567549,0.014506298704907222,0.014606677384622117,0.030334139118859106
easy,1,0.01498275589421664,0.005787701032493208,0.005118947442817904,0.014206955345429395
easy,2,0.020927739325007598,0.01256840170295327,0.013660002460301173,0.02057737400879511
easy,3,0.011413094723375252,0.0061495448564469445,0.006579994495625649,0.011260197316213888
easy,4,0.01880035852481633,0.010324867529505219,0.011100555873550116,0.018228019996728035
easy,5,0.02828171922541173,0.010665479342569926,0.0085941600953622,0.02641943550362816
easy,6,0.012680865734629659,0.004559333839603831,0.0025567165604079263,0.012270746654320725
easy,7,0.029315178968633247,0.015518306468357295,0.01685360902390924,0.028531411525734896
easy,8,0.008452460777338333,0.005180106131387027,0.005684203152742408,0.008393866882191766
easy,9,0.010060677538651948,0.003546514268179718,0.002372072313729718,0.00972034145581302
easy,10,0.010141844717128153,0.005299661802797463,0.005494233885598689,0.009711314749039303
easy,11,0.008424305538446687,0.00574815653858479,0.006387708656084441,0.008401285438812776
easy,12,0.0014461841492331576,0.0009143440463257012,0.0010086563761561862,0.001442163243496933
easy,13,0.007657848808814267,0.0038949038543199346,0.0036988130689954934,0.007615406507621298
easy,14,0.018927826612295796,0.008528122422513653,0.007424284581381705,0.018294339245503655
easy,15,0.01784685618655967,0.00572258664522064,0.0036410205068711735,0.01703275931705435
easy,16,0.02006847209320407,0.006024082922802371,0.0032312076667858486,0.019340475622949577
easy,17,0.013817572181268369,0.005842156182323371,0.004830928051515358,0.013546678216187932
easy,18,0.01092668782890155,0.005893617843798656,0.006386888568001401,0.010818062823322445
easy,19,0.013618908715619788,0.0074046884260519676,0.007474652041861233,0.013209366903294597
easy,20,0.0008717592880914195,0.0005779791816386988,0.0006336346652177777,0.0008684824147518708
easy,21,0.012610760322015618,0.006589351502550447,0.006902379380462893,0.012399518076213877
easy,22,0.014680287109027721,0.008200449000801654,0.008803155031901912,0.014379586860478934
easy,23,0.007558476985893273,0.0033948707616820667,0.0029142316676669514,0.007370829671337747
easy,24,0.007333421228340686,0.004923435794264129,0.005656403244359262,0.007314741405519552
easy,25,0.0014048152582327085,0.0008934160545787695,0.001003327290492927,0.0013991913780853483
easy,26,0.011486122398367233,0.007479260939878941,0.008434318945548556,0.011376494445779765
easy,27,0.006025221574622096,0.002209227471567379,0.0016183542206915295,0.005848435423708657
easy,28,0.014963754645437853,0.007646207166873852,0.007185118183890695,0.014843908613317544
easy,29,0.008234693757532309,0.004749876400379042,0.005122326462370321,0.008163690638500856
easy,30,0.002280229436330954,0.001463470103040053,0.0016682246071623957,0.002273536444580911
easy,31,0.008352069212337884,0.004924905227609646,0.004872973098130588,0.008254311855260368
easy,32,0.02314434318256963,0.012026861211826861,0.012209111987051926,0.022668734864599468
easy,33,0.018916226080264654,0.009555587408760469,0.009172696357510347,0.018582895444833138
easy,34,0.005129888646883067,0.003467627209021643,0.004040133186650658,0.00511447695920508
easy,35,0.013767206039924033,0.007891898685515526,0.008241144326232814,0.013705679604076168
easy,36,0.012249130592256564,0.007182135816506949,0.007620157934135425,0.012199623133946888
easy,37,0.015172061070713994,0.005891369045031883,0.004304553264050083,0.014414006737609179
easy,38,0.007993422341002034,0.005019652343540132,0.005555693404405369,0.007967050869101907
easy,39,0.02065543658693093,0.011053510811875122,0.011306090698118068,0.020232427464237708
easy,40,0.014713695248728006,0.006365499517412898,0.006094263369279068,0.014132830895176297
easy,41,0.016174711909733217,0.007531492745964669,0.005894229101657351,0.015468670106095638
easy,42,0.019528054383890724,0.010279373327593334,0.010909848853053386,0.019042024131676227
easy,43,0.009277458790067227,0.0050713846683791124,0.005438378992707842,0.00871898222219853
easy,44,0.010052483952674204,0.00485009167594535,0.004645768785272314,0.00990509479614555
easy,45,0.026022253391194277,0.013085208893980379,0.013006835378779738,0.025396989197361972
easy,46,0.01311097026278176,0.006613709594781035,0.004905225222837087,0.012700074310179355
easy,47,0.015609609128902836,0.005648107878938872,0.005446636984427074,0.014982713212430257
easy,48,0.007762793345530066,0.005024770684763426,0.005640939590869778,0.007746086740266384
easy,49,0.0059960987600777334,0.004282465594176689,0.005007140471115789,0.005985953705932429
easy,50,0.017169511030678375,0.008897383274249143,0.009265402709823067,0.016896057972394147
easy,51,0.01914900689420765,0.006121740300821907,0.0032424693759957766,0.017997669484112078
