difficulty,seed,strategy,mean_combined_risk,peak_combined_risk,mean_resistance,peak_resistance,mean_push_force,peak_push_force,minimum_velocity,mean_velocity,mean_buckling_risk,peak_buckling_risk,mean_kickback,peak_kickback
easy,1000,Fixed Flexible,0.5476684398245161,0.5708859292265687,0.38383445518838577,0.4656686018972812,0.1544655819963191,0.16360002654723246,2.111399308606568,2.2375505086161085,0.5476684398245161,0.5708859292265687,0.38327823219788626,0.41766291727375704
easy,1000,Balanced V2,0.3782209430829896,0.46257785141255403,0.3136800655220306,0.4605951550537253,0.14663484863888518,0.16303372115103493,2.1187333546772207,2.3604821535488454,0.3782209430829896,0.46257785141255403,0.3528770083880661,0.41556161233512223
easy,1000,Rate-Limited AI,0.36580532520113207,0.4330440587219482,0.3136707124306611,0.4605951550537253,0.1466338046334433,0.16303372115103493,2.1187333546772207,2.360725336419682,0.36551077257453557,0.4330440587219482,0.35285878066039333,0.41556161233512223
easy,1001,Fixed Flexible,0.4648714045190092,0.4867569368203687,0.27910504417236814,0.3435224324978746,0.1396471402153432,0.14667995124269614,2.8150437886082997,2.957997513540363,0.4648714045190092,0.4867569368203687,0.3001647250876827,0.3297494572227042
easy,1001,Balanced V2,0.28651512177205357,0.376153080171195,0.19671244053685244,0.31217555128531804,0.1306518731534102,0.14325763472854622,2.882293055037027,3.164998580180877,0.28651512177205357,0.376153080171195,0.26081476337052467,0.3154975851731781
easy,1001,Rate-Limited AI,0.273739553084896,0.3451649787238432,0.19569803174102712,0.31217555128531804,0.13054112440138887,0.14325763472854622,2.882293055037027,3.1678889080033037,0.273739553084896,0.3451649787238432,0.26030893133965843,0.3154975851731781
easy,1002,Fixed Flexible,0.45598913224371074,0.4689055325735766,0.2813472038991597,0.3223376506970737,0.12273822804379561,0.12666463830277128,2.7140645923442115,2.8018495826440017,0.45598913224371074,0.4689055325735766,0.2877711324921637,0.3056662362541698
easy,1002,Balanced V2,0.2841231147355366,0.3773602641714807,0.21054939152560465,0.28260517313284933,0.11595661724099005,0.12285872693293888,2.7981407467072676,2.9684080943137157,0.2841231147355366,0.3773602641714807,0.2559294606103603,0.2883837445396296
easy,1002,Rate-Limited AI,0.27089488963918984,0.3482936070443925,0.21104826387489525,0.28474446919625684,0.1160044034366329,0.12306364672929437,2.793481414343661,2.967458837443665,0.27089488963918984,0.3482936070443925,0.2561398067533882,0.28932255601859197
easy,1003,Fixed Flexible,0.4366525779260027,0.4413511676414658,0.37556033227356445,0.3879768180685946,0.15750194855067204,0.1589236387964475,3.5205373419481623,3.5525716587606873,0.4366525779260027,0.4413511676414658,0.3036899275428936,0.3097605443521739
easy,1003,Balanced V2,0.28155448295887686,0.3479055925569532,0.2946910249248463,0.3246765106706906,0.14824239578040999,0.1516757402309605,3.688767920626037,3.7750947971238444,0.28155448295887686,0.3479055925569532,0.2632840322488212,0.27850471463619086
easy,1003,Rate-Limited AI,0.26180274138724097,0.3165355365426507,0.28953171252645027,0.3126702081888924,0.1476516534211956,0.15030101606117693,3.7225071364350826,3.790411537205701,0.250520361722762,0.3165355365426507,0.2606361998450333,0.2724619451540994
easy,1004,Fixed Flexible,0.5580146481347341,0.5719296257819941,0.5184074043961882,0.5654289669322737,0.17729995584038943,0.18279052506249444,2.391897992015221,2.467260491266116,0.5580146481347341,0.5719296257819941,0.42291745618571996,0.4431771447955225
easy,1004,Balanced V2,0.4019789866087134,0.4725670084375595,0.465720908668828,0.5502601698607266,0.17114790907164987,0.18101930935111782,2.4153019444369486,2.55928763850108,0.39350954372668867,0.4725670084375595,0.39974289370626054,0.43669823733314167
easy,1004,Rate-Limited AI,0.4011228606223757,0.4503929608222428,0.4648081558738085,0.5460242362833556,0.1710413296188748,0.1805246918762318,2.4219196017581073,2.5608095455296587,0.38973427092465457,0.4503929608222428,0.39934593684081254,0.4348838554080146
easy,1005,Fixed Flexible,0.4546184922725069,0.4597787107880046,0.29271989533608456,0.3068622375248644,0.14588515265080168,0.14748113470112328,3.1355748816780165,3.170229081088328,0.4546184922725069,0.4597787107880046,0.2976002009835299,0.3043689743968063
easy,1005,Balanced V2,0.30138947893467416,0.3656108775730731,0.21389171104306343,0.2389723201481489,0.1369892876298776,0.13981966759159328,3.307389793265526,3.3769331951066204,0.30138947893467416,0.3656108775730731,0.25902510824487585,0.2715345174022884
